system,count,payload_size,qos,ok_runs,avg_success_rate_percent,avg_subscriber_throughput_msg_per_sec,avg_publisher_rate_msg_per_sec,avg_latency_avg_ms,avg_latency_p95_ms,avg_latency_max_ms
MQTT QoS 1,1000,1024,1,5,100.0,12141.204,12014.38,0.06,0.085,0.886
RabbitMQ,1000,1024,,5,100.0,9287.338,17569.088,30.423,49.786,51.233
