system,count,payload_size,qos,ok_runs,avg_success_rate_percent,avg_subscriber_throughput_msg_per_sec,avg_publisher_rate_msg_per_sec,avg_latency_avg_ms,avg_latency_p95_ms,avg_latency_max_ms
MQTT QoS 1,1000,256,1,5,100.0,10373.364,10284.228,0.072,0.121,0.761
RabbitMQ,1000,256,,5,100.0,10979.536,19588.884,22.7,38.417,39.706
