system,count,payload_size,qos,ok_runs,avg_success_rate_percent,avg_subscriber_throughput_msg_per_sec,avg_publisher_rate_msg_per_sec,avg_latency_avg_ms,avg_latency_p95_ms,avg_latency_max_ms
MQTT QoS 1,1000,512,1,5,100.0,9817.172,9721.784,0.079,0.136,0.897
RabbitMQ,1000,512,,5,100.0,10697.326,21065.408,27.157,46.999,48.897
